"","year_data","country","name","CD_inc","UC_inc","CD_change_inc","UC_change_inc","CD_prev","UC_prev","CD_change_prev","UC_change_prev","stage","status","decade","CD_inc_impute","UC_inc_impute","CD_prev_impute","UC_prev_impute","CD_change_inc_impute","UC_change_inc_impute","CD_change_prev_impute","UC_change_prev_impute","CD_inc_ind","UC_inc_ind","CD_prev_ind","UC_prev_ind","CD_change_inc_ind","UC_change_inc_ind","CD_change_prev_ind","UC_change_prev_ind"
"65_Australia_BARWON HEADS_2008",2008,"Australia","BARWON HEADS",17.4,12,NA,NA,NA,NA,NA,NA,"stage3","labelled","2000-2009",17.4,12,179.367375304497,140.007679692401,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66_Australia_Geelong_2008",2008,"Australia","Geelong",17.3735111866108,11.968418817443,NA,NA,NA,NA,NA,NA,"stage3","labelled","2000-2009",17.3735111866108,11.968418817443,179.369349671584,140.008173609969,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69_Australia_BARWON HEADS_2011",2011,"Australia","BARWON HEADS",14.6544614315023,9.54244000190849,-0.915179522832566,-0.819186666030503,197.324027182322,144.499805743186,NA,NA,"stage3","labelled","2010-2019",14.6544614315023,9.54244000190849,197.324027182322,144.499805743186,-0.915179522832566,-0.819186666030503,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"70_Australia_Geelong_2011",2011,"Australia","Geelong",14,9.66666666666667,-1.12450372887027,-0.767250716925444,NA,NA,NA,NA,"stage3","labelled","2010-2019",14,9.66666666666667,197.316995886185,144.498046758896,-1.12450372887027,-0.767250716925444,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"71_Australia_Melbourne_2011",2011,"Australia","Melbourne",16,14.3,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",16,14.3,197.316439429103,144.505481177011,-0.914407739864647,-0.818501457193376,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"72_Australia_Geelong_2012",2012,"Australia","Geelong",14,9.66,0,-0.00666666666666949,NA,NA,NA,NA,"stage3","labelled","2010-2019",14,9.66,188.326476498475,151.229729874363,0,-0.00666666666666949,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"73_Australia_Geelong_2013",2013,"Australia","Geelong",11,9,-3,-0.66,NA,NA,NA,NA,"stage3","labelled","2010-2019",11,9,179.458689405451,157.862594355428,-3,-0.66,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"74_Australia_Tasmania_2014",2014,"Australia","Tasmania",14.4221399337361,14.6170337166244,NA,NA,170.337166244397,164.685246540635,NA,NA,"stage3","labelled","2010-2019",14.4221399337361,14.6170337166244,170.337166244397,164.685246540635,-3,-0.66,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"76_Australia_City of Canada Bay_2016",2016,"Australia","City of Canada Bay",NA,NA,NA,NA,186.141535667669,227.00187276545,NA,NA,"unclassified","unlabelled","2010-2019",13.9897993368145,17.0234206565794,186.141535667669,227.00187276545,-3,-0.66,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"78_Australia_Mackay-Isaac-Whitsunday_2018",2018,"Australia","Mackay-Isaac-Whitsunday",13.5542878695017,19.4474565084154,NA,NA,NA,NA,NA,NA,"unclassified","unlabelled","2010-2019",13.5542878695017,19.4474565084154,266.567294008887,306.952024601266,-3,-0.66,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"79_Australia_Australia_2019",2019,"Australia","Australia",NA,NA,NA,NA,306.449228544333,346.598112961254,NA,NA,"stage3","labelled","2010-2019",13.5542878695017,19.4474565084154,306.449228544333,346.598112961254,-3,-0.66,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"80_Austria_Styria_1997",1997,"Austria","Styria",5.8,3.6,NA,NA,NA,NA,NA,NA,"stage2","labelled","1990-1999",5.8,3.6,0,0,0.3,1.5,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"81_Austria_Styria_1998",1998,"Austria","Styria",6.1,5.1,0.3,1.5,NA,NA,NA,NA,"stage2","labelled","1990-1999",6.1,5.1,0,0,0.3,1.5,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"82_Austria_Styria_1999",1999,"Austria","Styria",5.2,4.5,-0.899999999999999,-0.6,NA,NA,NA,NA,"stage2","labelled","1990-1999",5.2,4.5,0,0,-0.899999999999999,-0.6,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"83_Austria_Styria_2000",2000,"Austria","Styria",6.3,4.3,1.1,-0.2,NA,NA,NA,NA,"stage3","labelled","2000-2009",6.3,4.3,0,0,1.1,-0.2,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"84_Austria_Styria_2001",2001,"Austria","Styria",6.8,4,0.5,-0.3,NA,NA,NA,NA,"stage3","labelled","2000-2009",6.8,4,0,0,0.5,-0.3,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"85_Austria_Styria_2002",2002,"Austria","Styria",6.1,5.1,-0.7,1.1,NA,NA,NA,NA,"stage3","labelled","2000-2009",6.1,5.1,0,0,-0.7,1.1,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"86_Austria_Styria_2003",2003,"Austria","Styria",7.6,5.1,1.5,0,NA,NA,NA,NA,"stage3","labelled","2000-2009",7.6,5.1,0,0,1.5,0,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"87_Austria_Styria_2004",2004,"Austria","Styria",6.9,4.4,-0.699999999999999,-0.699999999999999,NA,NA,NA,NA,"stage3","labelled","2000-2009",6.9,4.4,0,0,-0.699999999999999,-0.699999999999999,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
"88_Austria_Styria_2005",2005,"Austria","Styria",8.1,6.1,1.2,1.7,NA,NA,NA,NA,"stage3","labelled","2000-2009",8.1,6.1,0,0,1.2,1.7,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
