"country","decade","rate_min","rate_max","percentile.0.","percentile.25.","percentile.50.","percentile.75.","percentile.100.","median"
"Spain","2010-2019",88.4,102.59,88.4,90.68,92.96,97.775,102.59,92.96
"Sri Lanka","2000-2009",5.33333333333333,5.33333333333333,5.3333333,5.3333333,5.3333333,5.3333333,5.3333333,5.33333333333333
"Sri Lanka","2010-2019",5.44747081712062,5.44747081712062,5.4474708,5.4474708,5.4474708,5.4474708,5.4474708,5.44747081712062
"Sweden","1960-1969",44,89,44,55.25,66.5,77.75,89,66.5
"Sweden","1980-1989",234,234,234,234,234,234,234,234
"Sweden","2010-2019",238.461538461538,488,238.4615385,363.8793179,408.2958698,457.75,488,407.59173953687
"Taiwan","1990-1999",0.391317070134515,1.29,0.3913171,0.6404983,0.7803998,1.1672016,1.29,0.855352772142325
"Taiwan","2000-2009",1.11533334331822,8.41,1.1153333,2.3658405,4.08,5.87,8.41,4.30418825754866
"Taiwan","2010-2019",8.91541764112038,16.9471698794151,8.9154176,10.245,12.02,13.53,16.9471699,12.02
"Turkey","2000-2009",4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
"Turkey","2010-2019",31.83572764535,31.83572764535,31.8357276,31.8357276,31.8357276,31.8357276,31.8357276,31.83572764535
"United Kingdom","1990-1999",214,214,214,214,214,214,214,214
"United Kingdom","2000-2009",355.8719,498.2,355.8719,390.25,416.9,463.6,498.2,416.9
"United Kingdom","2010-2019",300.173866114254,600.483982484443,300.1738661,414.59075,509,548.2,600.4839825,485.81675
"United States","1960-1969",87,87,87,87,87,87,87,87
"United States","1970-1979",212.6,212.6,212.6,212.6,212.6,212.6,212.6,212.6
"United States","1990-1999",202.830188679245,229,202.8301887,215.3150943,227.8,228.4,229,219.876729559748
"United States","2000-2009",213.4,291.582419921251,213.4,216.9354839,265.9818399,272.9,291.5824199,269.440919930295
"United States","2010-2019",246.399784949241,350,246.3997849,299.2671587,306.1950554,323.3300181,350,302.307614792919
