"figure","disease","country","data_type","year","percent_prevalence","CDA"
"4","IBD","Scotland (Lothian)","obs",2014,0.735246791509734,
"4","IBD","Scotland (Lothian)","obs",2015,0.756250166930643,
"4","IBD","Scotland (Lothian)","obs",2016,0.768198250944964,
"4","IBD","Scotland (Lothian)","obs",2017,0.786755170381561,
"4","IBD","Scotland (Lothian)","model",2018,0.819551393970389,0.0330843696685685
"4","IBD","Scotland (Lothian)","model",2019,0.852923909718698,0.0330566701845608
"4","IBD","Scotland (Lothian)","model",2020,0.88566473433951,0.0325237340943434
"4","IBD","Scotland (Lothian)","model",2021,0.917971377907385,0.0320911110501079
"4","IBD","Scotland (Lothian)","model",2022,0.949846956439726,0.0316811929152257
"4","IBD","Scotland (Lothian)","model",2023,0.981333763737836,0.0312351431864208
"4","IBD","Scotland (Lothian)","model",2024,1.01231724281257,0.0307569758739559
"4","IBD","Scotland (Lothian)","model",2025,1.04284771548575,0.0302537345927523
"4","IBD","Scotland (Lothian)","model",2026,1.07282471199807,0.0297901785864289
"4","IBD","Scotland (Lothian)","model",2027,1.10242807265861,0.0292873120523354
"4","IBD","Scotland (Lothian)","model",2028,1.13139933610274,0.0287587672354418
"4","IBD","Scotland (Lothian)","model",2029,1.15994560712949,0.0283203687021166
"4","IBD","Scotland (Lothian)","model",2030,1.18804007350698,0.0278445534243854
"4","IBD","Scotland (Lothian)","model",2031,1.21563471397826,0.0273939733145356
"4","IBD","Scotland (Lothian)","model",2032,1.24282802013605,0.0269516574587166
"4","IBD","Scotland (Lothian)","model",2033,1.26953802889569,0.0263849355737103
"4","IBD","Scotland (Lothian)","model",2034,1.29559789128347,0.0258610207587147
"4","IBD","Scotland (Lothian)","model",2035,1.32126007041312,0.0256807307765273
"4","IBD","Scotland (Lothian)","model",2036,1.34695935283652,0.0250438674940789
"4","IBD","Scotland (Lothian)","model",2037,1.37134780540128,0.024188386320237
"4","IBD","Scotland (Lothian)","model",2038,1.395336125477,0.0237165884260687
"4","IBD","Scotland (Lothian)","model",2039,1.41878098225342,0.0231734565606195
"4","IBD","Scotland (Lothian)","model",2040,1.44168303859824,0.0226505399752425
"4","IBD","Scotland (Lothian)","model",2041,1.4640820622039,0.0221171595943144
"4","IBD","Scotland (Lothian)","model",2042,1.48591735778686,0.021612885213738
"4","IBD","Scotland (Lothian)","model",2043,1.50730783263138,
